dx_id	name	created_by	created
project-G8Y3FfQ4F9GqbV938vYXxkkF	003_220307_VAF_discrepancies_MYE	user-aishadahir	2022-03-07
project-G91X2yj4G315168qP74v9VPJ	003_220316_A01295_0069_BH333TDRX2_PC	user-toutoua	2022-03-29
project-G8PYXf04Yby9Z0xF2QKgxFfb	002_220214_A01295_0055_AH5CH2DMXY_TWE	user-aishadahir	2022-03-02
project-G86F2x04zk8x6yF88fQjFf29	002_220214_A01303_0060_AHYLKVDRXY_CEN	user-aishadahir	2022-02-16
project-G8xZV3j454GzZj85K67XKjQ6	002_220321_M03595_0374_000000000-KBH6H_SNP	user-jethror1	2022-03-23
project-G8xKV404JJPkVY7v38X6f623	002_220321_A01295_0072_AH3325DRX2_MYE	user-jethror1	2022-03-23
project-G8jzYJ04ff6xv7JXBv5559v3	003_220315_A01295_0067_AH332GDRX2_TSO500	user-toutoua	2022-03-16
project-G8j6ZX84JF9yqqqP50Gp9qF5	003_220315_panel_docker	user-ykim	2022-03-15
project-G8x16Qj4J3y97bvV75Y8v0Jz	002_220321_A01295_0073_BH32NYDRX2_CEN	user-toutoua	2022-03-22
project-G80Z5f84Xp9GV2Xg2Pyf96Qb	003_220207_opencga_metadata_testing	user-jethror1	2022-02-07
project-G5YPJZj4574zvxkVJqQPvvvY	002_211012_A01303_0031_AHL5T7DRXY_TWE	user-pyattc	2021-10-13
project-G6v87p8436p9Z1FY9Xyp7yYg	002_211213_A01303_0048_AH5CJNDMXY_TWE	user-pyattc	2021-12-14
project-G64ZbqQ4QKkf51JF2Bv31zv7	003_211110_ansible monitoring_v1.0_testing	user-jason_l	2021-11-08
project-G8kVZjQ4Yb94Y52z69FgFyKy	004_220311_A01295_0066_AH3FWMDRX2_MYE_new_capture_samples_only	user-aishadahir	2022-03-17
project-G8p8X204GvBY0qPq5Kqp69fJ	002_220316_A01295_0068_AH7H2GDMXY_TWE	user-aishadahir	2022-03-18
project-G8pjG18461kJyv50576Vjvxz	002_220319_vaf_checks_TSOE	user-garnerm	2022-03-19
project-Fq9zgF84PfFbz08k9y7G5K05	002_200522_K00178_0261_AHGGFMBBXY_clinicalgenetics	user-garnerm	2020-05-31
project-G8GQjJQ4GfF7bX84472YPfk2	004_220217_A01295_0056_AHYKG7DRXY_MYE_new_capture_samples_only	user-aishadahir	2022-02-25
project-G6xj3bj49F5XkFG8PPGVf6BK	002_211203_A01303_0044_BHLWV7DRXY_TWE	user-mohammedn	2021-12-16
project-G5XXyY84XjQPZKJfKX0ZQZpz	003_211012_zetta-shared-project	user-garnerm	2021-10-12
project-G1vfpY04VyF095XQ1p5ZxBg6	002_210409_K00178_0322_AHLFKVBBXY_clinicalgenetics	user-toutoua	2021-04-16
project-G194zXj4b0ZfB9v1JBZbf6gg	002_210312_K00178_0315_AHL5GMBBXY_clinicalgenetics	user-garnerm	2021-03-17
project-G1X5jK04vykJk0Pq14XB0Zjb	002_210326_K00178_0319_AHLFNNBBXY_clinicalgenetics	user-toutoua	2021-03-31
project-G0pXf3j4vpqYg0J0GYYY9g15	002_210219_K00178_0312_BHKMTYBBXY_clinicalgenetics	user-toutoua	2021-02-23
project-FzkP968489gzbKZP0xj0FZ0v	002_201223_K00178_0302_BHK5YLBBXY_clinicalgenetics	user-sophier	2021-01-04
project-FzK9zqQ4B8JZq1KP2g0Q5gP2	002_201210_K00178_0300_AHK5Y3BBXY_clinicalgenetics	user-aishadahir	2020-12-18
project-Fz31Q584Jq78Z05QG9686f3B	002_201123_K00178_0299_BHK7FJBBXY_clinicalgenetics	user-aishadahir	2020-12-01
project-FyqvqP04BJqQg4jKKZ6Q58ZF	002_201029_K00178_0294_BHK737BBXY_clinicalgenetics_repeat	user-ykim	2020-11-20
project-Fyxy1q040P8f4jBJ5By1674G	002_201112_K00178_0295_AHK72KBBXY_clinicalgenetics	user-ykim	2020-11-23
project-Fyg6b184G2Vvkgv6927gbJbZ	002_201029_K00178_0293_AHJY3FBBXY_clinicalgenetics	user-ykim	2020-11-13
project-Fy6pgXj4GVFqjpyq3XfVPB3g	002_201009_K00178_0288_AHJTTFBBXY_clinicalgenetics	user-ykim	2020-10-19
project-FxbQ20Q4xq8gxY9x6vkZqZ7F	002_200918_K00178_0282_BHH73MBBXY_clinicalgenetics	user-ykim	2020-09-23
project-FxqV3Y046vX1Zb1yJ3zF5J88	002_200925_K00178_0284_BHH73TBBXY_clinicalgenetics	user-ykim	2020-10-02
project-FqxVPB8470V2pYFgPBk8zyG1	002_200619_K00178_0268_BHGWC5BBXY_clinicalgenetics	user-garnerm	2020-06-30
project-FxPj9y04pgbK23zgP6272545	002_200910_K00178_0278_AHH5J3BBXY_clinicalgenetics	user-ykim	2020-09-14
project-FvbzbX84gG9Z3968BJjxYZ1k	001_Staging_Area53	user-jwahn	2020-08-06
project-G72v2F04GBPp2q79286j96Fp	002_211222_A01295_0041_BHLWK5DRXY_TWE	user-toutoua	2021-12-24
